,country,page,rev_id
9099,Ivorian,Martial Joseph Ahipeaud,744522699
9144,Carniolan,Lovro Toman,744636212
9188,Ivorian,Innocent Anaky,744920472
9256,Jersey,Michel Couriard,745348113
9552,Cape Colony,John Thomas Eustace,746923352
9649,Rhodesian,Gerald B. Clarke,747497059
9728,Carniolan,Bogumil Vošnjak,747945423
9757,South Ossetian,Boris Chochiev,748071193
9794,Pitcairn Islands,Simon Young (magistrate),748179514
9862,Guernsey,De Vic Carey,748457839
9867,Faroese,Finnbogi Ísakson,748477895
9976,Pitcairn Islands,Brian Young (magistrate),749046736
10271,Ivorian,First Lady of Ivory Coast,749766207
10325,South Ossetian,Yury Morozov,749962491
10366,Faroese,"List of members of the Løgting, 1988–90",750074079
10424,Faroese,Brandur Sandoy,750167873
10443,Cape Colony,Jeremias Ziervogel,750299694
10534,Ivorian,Queen Pokou,750972336
10610,Pitcairn Islands,Joshua Hill (Pitcairn Island leader),751464749
10986,Jersey,Guy de Faye,754330569
11038,Pitcairn Islands,George Fergusson (diplomat),754790610
11057,Pitcairn Islands,James Russell McCoy,754935959
11058,Pitcairn Islands,Matthew Edmond McCoy,754935982
11067,Faroese,"List of members of the Løgting, 2015–19",754952121
11068,Faroese,"List of members of the Løgting, 2011–15",754952298
11069,Faroese,"List of members of the Løgting, 2008–11",754952557
11070,Faroese,"List of members of the Løgting, 2004–08",754952620
11071,Faroese,"List of members of the Løgting, 2002–04",754952690
11117,Abkhazia,Sumbat Saakian,755193428
11179,Cook Island,Speaker of the Cook Islands Parliament,755442454
11183,Ivorian,Émile Boga Doudou,755479236
11210,Carniolan,Fran Levstik,755713654
11296,Ivorian,Adrien Jules Jean Bonhoure,756060260
11410,Faroese,Bárður á Steig Nielsen,756602743
11464,Faroese,Edmund Joensen,756654638
11467,Faroese,Jørgen Niclasen,756654880
11634,Greenlandic,Sara Olsvig,756830216
11848,Cook Island,Maria Heather,757064438
11849,Cook Island,Tetangi Matapo,757064793
11850,Cook Island,Selina Napa,757064845
11851,Cook Island,Dorice Reid,757065079
11852,Cook Island,Ngai Tupa,757065152
11881,Montserratian,Teresina Bodkin,757086597
11882,Montserratian,Shirley Osborne,757086621
11886,Greenlandic,Kathrine Chemnitz,757102071
11889,Greenlandic,Augusta Salling,757103267
12656,Ossetian,Taymuraz Mamsurov,757343822
12855,Greenlandic,Agathe Fontain,757539811
12859,Greenlandic,Ane Hansen (politician),757539958
12872,Cook Island,Cassey Eggelton,757540405
13263,Cape Colony,Henry Latham Currey,757832561
13762,Ivorian,Seydou Diarra,760303900
13763,Ivorian,Gilbert Aké,760304267
13779,Ivorian,Jeannot Ahoussou-Kouadio,760393381
13790,South Ossetian,Aleksandr Shavlokhov,760473086
13791,South Ossetian,Merab Chigoev,760473130
