,country,page,rev_id
38709,Tokelauan,Head of Government of Tokelau,801375710
38768,Cape Colony,Mpilo Walter Benson Rubusana,801417570
38985,South Ossetian,Dmitry Sanakoyev,801560549
39030,Incan,Túpac Amaru,801587917
39078,Tokelauan,Falima Teao,801630990
39095,Faroese,Kristina Háfoss,801638146
39162,Rhodesian,Sam Levy,801716406
39164,Rhodesian,Humphrey Gibbs,801718040
39226,Rhodesian,P. K. van der Byl,801795215
39292,Cape Colony,Henry Hugh Clifford,801856640
39314,Rhodesian,Clifford Dupont,801876681
39315,South African Republic,Krugersdorp,801877418
39383,Cape Colony,James Tennant Molteno,801935094
39484,Abkhazia,Zhiuli Shartava,802029007
39500,Ivorian,List of heads of government of Ivory Coast,802048749
39604,Rhodesian,Lance Smith (politician),802151785
39788,Ivorian,Michel Amani N'Guessan,802374350
39819,Guernsey,Richard Weston (treasurer),802409654
40035,Faroese,Sirið Stenberg,802476681
40063,Faroese,Eyðgunn Samuelsen,802515495
40091,Jersey,Peter Crill,802532217
40238,Chechen,Akhmad Kadyrov,802665757
40513,South Ossetian,Vadim Brovtsev,802882186
40521,Ivorian,Jeanne Gervais,802893546
40522,Ivorian,Gladys Anoma,802893568
40530,Jersey,"John Carteret, 2nd Earl Granville",802912550
40555,Faroese,Edva Jacobsen,802925425
40560,Rhodesian,Desmond Lardner-Burke,802930161
40590,Chechen,Dzhokhar Dudayev,802950350
40638,Abkhazia,Yuri Voronov,803018106
40759,Faroese,Aksel V. Johannesen,803145744
40791,Chechen,Ilyas Akhmadov,803177211
40792,Cape Colony,Leander Starr Jameson,803177433
40885,Cape Colony,Henry Bartle Frere,803288472
40901,Cape Colony,"Hercules Robinson, 1st Baron Rosmead",803303116
40977,Niuean,Toke Talagi,803392432
41001,Jersey,Darius J. Pearce,803416400
41065,Chechen,Ruslan Gelayev,803469952
41181,Incan,Pachacuti,803601556
41188,Dagestani,Head of the Republic of Dagestan,803611453
41201,Cape Colony,"Henry Loch, 1st Baron Loch",803618569
41204,Rhodesian,John Bredenkamp,803620246
41236,Faroese,Djóni í Geil,803656387
41422,Ivorian,Robert Guéï,803820918
41425,Ivorian,List of heads of state of Ivory Coast,803821448
41515,Cape Colony,Francis Dundas,803908887
41594,Ivorian,Francis Wodié,803941004
41688,Niuean,Frank Lui,804027488
41699,Rhodesian,Frank Rhodes (British Army officer),804040348
41791,Rhodesian,Ernest Lucas Guest,804101492
41803,Ivorian,List of vice-presidents of Ivory Coast,804108433
41863,Somaliland,Adan Ahmed Elmi,804143605
41984,South African Republic,Ben Viljoen,804250196
42018,Chechen,President of Ichkeria,804275742
42020,Chechen,Said-Khasanom Abumuslimov,804276832
42021,Chechen,Vakha Arsanov,804276940
42022,Cape Colony,Lowry Cole,804277547
42023,Chechen,Shamil Basayev,804277603
42024,Chechen,Supyan Abdullayev,804277842
42031,Chechen,Zelimkhan Yandarbiyev,804279009
42032,Chechen,Aslan Maskhadov,804279119
42033,Chechen,Abdul-Halim Sadulayev,804279165
42034,Chechen,Dokka Umarov,804279341
42138,Cape Colony,"Sir David Baird, 1st Baronet",804362436
42147,Jersey,Alan Simon Crowcroft,804372746
42192,Faroese,Elsebeth Mercedis Gunnleygsdóttur,804422035
42284,Cape Colony,James Rose Innes,804497413
42327,Incan,Túpac Katari,804527512
42335,Guernsey,Havilland de Sausmarez,804532628
42372,Chechen,Tapa Tchermoeff,804557776
42433,Ossetian,Vyacheslav Bitarov,804609656
42434,Ossetian,Tamerlan Aguzarov,804609900
42464,Rhodesian,Godfrey Chidyausiku,804650400
42527,South African Republic,Krugerrand,804713000
42564,Rhodesian,Richard Hope Hall,804743937
42621,Rhodesian,Crosaire,804806363
42719,Rhodesian,Gaston Thornicroft,804877226
43060,Ivorian,Amadou Gon Coulibaly,805044583
43087,Abkhazia,Gennadi Berulava,805063877
43178,Jersey,William Bailhache,805135198
43179,Jersey,Michael Birt (barrister),805136001
43180,Jersey,Frank Ereaut,805136113
43181,Jersey,Robert Pipon Marett,805136184
43228,Cape Colony,Nicolaas Frederic de Waal,805157563
43524,Rhodesian,"James Graham, 7th Duke of Montrose",805372073
43700,Incan,Hilaria Supa,805475200
43741,Jersey,Freddie Cohen,805499715
43968,Cook Island,Pa Tepaeru Terito Ariki,805657875
43993,Cape Colony,"John Charles Molteno, Jr.",805678535
44096,Guernsey,Edmund Andros,805755298
44123,Abkhazia,Guram Gabiskiria,805775169
44157,Chechen,Umar Dzhabrailov,805794113
44236,Somaliland,Muhammad Haji Ibrahim Egal,805840190
44292,Chechen,Ramzan Kadyrov,805869321
44297,Rojava,Hediya Yousef,805873719
44298,Rojava,Mansur Selum,805873803
44374,South African Republic,Kruger National Park,805927999
44426,Rhodesian,Ahrn Palley,805960143
44433,Cape Colony,"Alfred Milner, 1st Viscount Milner",805962015
44440,Abkhazia,Nestor Lakoba,805967589
44499,Faroese,Annita á Fríðriksmørk,806011231
44690,Rhodesian,Allan Savory,806153816
44827,Ivorian,Alassane Ouattara,806218350
44881,Tokelauan,Jonathan Kings,806257719
44883,Tokelauan,Administrator of Tokelau,806258588
44919,Ivorian,Hortense Aka-Anghui,806287770
45041,Cape Colony,Gordon Sprigg,806340214
45166,Montserratian,Governor of Montserrat,806415676
45178,Ivorian,Dagobert Banzio,806421729
45354,Rhodesian,Ian Smith,806532780
45409,Greenlandic,Mimi Karlsen,806560929
45549,Cape Colony,Cecil Rhodes,806647373
45582,Niuean,Joan Viliamu,806666816
45690,Montserratian,Tony Abbott (governor),806730593
45701,Cook Island,Tom Marsters,806739780
45758,Incan,Túpac Amaru II,806761543
45898,Ossetian,Anatoly Bibilov,806832826
46042,Faroese,Katrin Kallsberg,806909915
46113,Ivorian,Guillaume Soro,806973935
46295,Rhodesian,Garfield Todd,807097467
46410,Ivorian,Laurent Gbagbo,807159456
46412,Rhodesian,Douglas Hamilton Ritchie,807159903
46414,Rhodesian,Godfrey Huggins,807160082
46474,Chechen,Idris Gaibov,807180397
46660,South African Republic,Piet Joubert,807269619
46684,Rhodesian,George Hackwill,807283218
46701,Cape Colony,George Grey,807290539
46709,Ivorian,Patrick Achi,807296683
46710,Faroese,H. C .W. Tórgarð,807297374
46765,Cape Colony,Peregrine Maitland,807330872
46824,Chechen,Ruslan Alikhadzhiyev,807354708
46946,Cape Colony,Thomas Francis Wade,807401513
47017,Rhodesian,Henry Everard,807425613
47019,Rhodesian,John Wrathall,807425747
47096,Chechen,Ruslan Yamadayev,807454176
